Point in Time[s],Response Time[s]
1.850029483,1.850029483
3.700058966,2.700058966
5.550088449,3.5500884490000004
7.400117932,4.400117932
9.250147415,5.250147415000001
11.100176898,6.100176898000001
12.950206381,6.950206380999999
14.800235864,7.800235863999999
16.650265347,8.650265347000001
18.50029483,9.500294830000001
20.350324313,10.350324313000002
22.200353796,11.200353796000002
24.050383279,12.050383278999998
25.900412762,12.900412761999998
27.750442245,13.750442244999999
29.600471728,14.600471727999999
31.450501211,15.450501210999999
33.300530694,16.300530694000003
35.150560177,17.150560177000003
37.00058966,18.000589660000003
38.850619143,18.850619143000003
40.700648626,19.700648626000003
42.550678109,20.550678109000003
44.400707592,21.400707592000003
46.250737075,22.250737075000004
48.100766558,23.100766557999997
49.950796041,23.950796040999997
51.800825524,24.800825523999997
53.650855007,25.650855006999997
55.50088449,26.500884489999997
57.350913973,27.350913972999997
59.200943456,28.200943455999997
61.050972939,29.050972938999998
62.901002422,29.901002421999998
64.751031905,30.751031905000005
66.601061388,31.601061388000005
68.451090871,32.451090871000005
70.301120354,33.301120354000005
72.151149837,34.151149837000006
74.00117932,35.001179320000006
75.851208803,35.851208803000006
77.701238286,36.701238286000006
79.551267769,37.551267769000006
81.401297252,38.401297252000006
83.251326735,39.251326735000006
85.101356218,40.10135621800001
86.951385701,40.95138570100001
88.801415184,41.80141518400001
90.651444667,42.65144466700001
92.50147415,43.50147415000001
94.351503633,44.35150363299999
96.201533116,45.20153311599999
98.051562599,46.05156259899999
99.901592082,46.90159208199999
